state,Status of Medicaid Expansion Decision
United States,"Adopted–40 states & DC; 
Not Adopted–10 states"
Alabama,Not Adopted
Alaska,Adopted
Arizona,Adopted
Arkansas,Adopted
California,Adopted
Colorado,Adopted
Connecticut,Adopted
Delaware,Adopted
District of Columbia,Adopted
Florida,Not Adopted
Georgia,Not Adopted
Hawaii,Adopted
Idaho,Adopted
Illinois,Adopted
Indiana,Adopted
Iowa,Adopted
Kansas,Not Adopted
Kentucky,Adopted
Louisiana,Adopted
Maine,Adopted
Maryland,Adopted
Massachusetts,Adopted
Michigan,Adopted
Minnesota,Adopted
Mississippi,Not Adopted
Missouri,Adopted
Montana,Adopted
Nebraska,Adopted
Nevada,Adopted
New Hampshire,Adopted
New Jersey,Adopted
New Mexico,Adopted
New York,Adopted
North Carolina,Adopted
North Dakota,Adopted
Ohio,Adopted
Oklahoma,Adopted
Oregon,Adopted
Pennsylvania,Adopted
Rhode Island,Adopted
South Carolina,Not Adopted
South Dakota,Adopted
Tennessee,Not Adopted
Texas,Not Adopted
Utah,Adopted
Vermont,Adopted
Virginia,Adopted
Washington,Adopted
West Virginia,Adopted
Wisconsin,Not Adopted
Wyoming,Not Adopted
